dish_id,dish_name,calories_per_100g,protein_per_100g,fat_per_100g,carbs_per_100g,source,confidence_score,normalized_name,average_serving_size
25,Lemon cake,373.85,5.29,20.63,43.1,indb,0.9,lemon cake,109.0
26,Dundee cake,396.62,7.78,22.7,41.4,indb,0.9,dundee cake,100.0
27,Victorian sandwich cake,373.09,5.18,19.83,44.74,indb,0.9,victorian sandwich cake,70.0
28,Tomato and cucumber sandwich,150.68,4.03,6.31,20.51,indb,0.9,tomato and cucumber sandwich,150.0
29,Curd vegetable dip,56.21,3.88,1.94,6.04,indb,0.9,curd vegetable dip,25.0
30,Namkeen daliya,295.11,8.29,7.99,49.32,indb,0.9,namkeen daliya,216.0
31,Curd mint dip,76.13,4.82,2.44,9.11,indb,0.9,curd mint dip,25.0
32,Khoa coconut burfi,411.45,9.98,26.01,36.55,indb,0.9,khoa coconut burfi,20.0
33,Danedar burfi,102.68,3.24,4.72,12.33,indb,0.9,danedar burfi,25.0
34,Semolina burfi,348.67,3.47,16.86,47.1,indb,0.9,semolina burfi,45.0
35,Pumpkin coconut burfi,186.18,1.75,12.66,17.02,indb,0.9,pumpkin coconut burfi,20.0
36,Khoa ladoo,396.02,12.21,24.09,34.43,indb,0.9,khoa ladoo,50.0
37,Wheat and gram flour ladoo,501.7,9.38,29.86,50.5,indb,0.9,wheat and gram flour ladoo,40.0
38,Semolina ladoo with nuts,441.84,5.44,25.45,48.02,indb,0.9,semolina ladoo with nuts,30.0
39,Sesame chickpeas brittle,282.74,8.5,4.66,50.49,indb,0.9,sesame chickpeas brittle,28.0
40,Murmura chikki,253.82,2.12,0.32,59.59,indb,0.9,murmura chikki,30.0
41,Masala onion pakora/pakoda,551.64,2.05,57.61,6.48,indb,0.9,masala onion pakorapakoda,100.0
42,Fish pakora/pakoda,577.03,5.97,59.52,4.55,indb,0.9,fish pakorapakoda,100.0
43,Sago cutlet/vadas,558.76,0.56,56.97,11.23,indb,0.9,sago cutletvadas,50.0
44,Poshtik cutlet,496.45,2.0,50.94,7.39,indb,0.9,poshtik cutlet,100.0
45,Minced meat cutlet,531.86,5.1,54.47,5.61,indb,0.9,minced meat cutlet,150.0
46,Vegetable samosa,443.11,2.21,42.22,13.22,indb,0.9,vegetable samosa,50.0
47,Khaman,54.73,1.92,2.8,5.36,indb,0.9,khaman,100.0
48,Instant dhokla,207.11,7.66,9.37,24.11,indb,0.9,instant dhokla,58.0
49,Tomato ginger chutney,44.66,1.05,0.32,9.11,indb,0.9,tomato ginger chutney,15.0
50,Mint tomato chutney,43.65,1.53,0.36,8.22,indb,0.9,mint tomato chutney,30.0
51,Coriander chutney,42.86,1.38,0.37,8.16,indb,0.9,coriander chutney,15.0
52,Gooseberry chutney,43.02,1.44,0.62,8.83,indb,0.9,gooseberry chutney,30.0
53,Walnut chutney,370.43,9.44,33.46,8.91,indb,0.9,walnut chutney,30.0
54,Saunth/Sonth chutney with ginger,84.22,0.28,0.11,20.62,indb,0.9,saunthsonth chutney with ginger,34.0
55,Gun powder chutney,312.34,21.55,2.67,47.65,indb,0.9,gun powder chutney,10.0
56,Dessicated coconut chutney,346.36,12.88,15.88,36.72,indb,0.9,dessicated coconut chutney,30.0
57,Chocolate eggless cake,312.01,6.66,13.19,43.45,indb,0.9,chocolate eggless cake,80.0
58,Orange eggless cake,355.62,7.16,13.82,52.65,indb,0.9,orange eggless cake,40.0
59,Chocolate glace icing,436.29,3.22,20.8,62.43,indb,0.9,chocolate glace icing,15.0
60,Butter icing,500.72,0.19,25.37,71.64,indb,0.9,butter icing,35.0
61,Paneer patties,338.58,7.6,23.96,22.79,indb,0.9,paneer patties,25.0
62,Vegetable patties,261.92,4.01,17.74,20.98,indb,0.9,vegetable patties,100.0
63,Pearl millet infant food,362.44,11.98,6.62,62.1,indb,0.9,pearl millet infant food,100.0
64,Sajina,345.26,10.81,3.03,66.87,indb,0.9,sajina,28.0
65,Cereal mix,120.81,3.32,2.02,21.84,indb,0.9,cereal mix,28.0
66,Pulse mix,83.29,3.16,0.54,16.0,indb,0.9,pulse mix,20.0
67,Shishu ahar,93.37,2.61,1.43,17.42,indb,0.9,shishu ahar,100.0
68,Cereal pulse mix with amylase rice flour,151.57,4.27,2.74,27.8,indb,0.9,cereal pulse mix with amylase rice flour,100.0
69,Banana groundnut paste/puree,213.19,4.27,5.45,36.15,indb,0.9,banana groundnut pastepuree,140.0
70,Rice dal porridge,383.33,10.8,8.33,65.04,indb,0.9,rice dal porridge,200.0
71,Lentils and semolina porridge,117.29,3.26,1.06,23.19,indb,0.9,lentils and semolina porridge,200.0
72,Spinach khichri,102.18,3.43,1.91,17.35,indb,0.9,spinach khichri,120.3
73,Vegetable mix,174.21,4.7,0.94,36.02,indb,0.9,vegetable mix,100.0
74,Lentils and wheat porridge,52.54,2.71,0.94,8.36,indb,0.9,lentils and wheat porridge,200.0
75,Maize porridge,89.57,2.14,1.89,15.64,indb,0.9,maize porridge,400.0
76,Spinach peanut burfi,105.37,3.36,4.39,13.59,indb,0.9,spinach peanut burfi,50.0
77,Split bengal gram burfi/fudge,287.36,4.65,7.09,54.63,indb,0.9,split bengal gram burfifudge,30.0
78,Chickpea flour cookies,207.01,4.29,3.42,39.64,indb,0.9,chickpea flour cookies,30.0
79,Sesame biscuit,424.03,8.27,19.34,53.65,indb,0.9,sesame biscuit,30.0
80,Poshtik namak paras,613.39,6.49,56.58,19.52,indb,0.9,poshtik namak paras,28.0
81,Soya chikki,423.7,7.18,15.51,62.89,indb,0.9,soya chikki,30.0
82,Besan bathua chilla/cheela,373.82,11.48,18.57,40.65,indb,0.9,besan bathua chillacheela,40.0
83,Wheat flour and nuts ladoos,391.9,9.46,19.19,44.31,indb,0.9,wheat flour and nuts ladoos,50.0
84,Gram flour and semolina dhokla,198.91,8.52,7.1,25.92,indb,0.9,gram flour and semolina dhokla,58.0
85,Atta dal burfi,298.8,6.66,12.47,40.64,indb,0.9,atta dal burfi,25.0
86,Savoury cheese horns,295.15,5.66,20.71,21.38,indb,0.9,savoury cheese horns,57.0
87,Cream horns,408.23,3.42,33.55,23.12,indb,0.9,cream horns,69.0
88,Potato aigrettes,530.03,2.35,54.24,8.01,indb,0.9,potato aigrettes,150.0
89,Jelly biscuit,404.61,4.23,19.33,55.24,indb,0.9,jelly biscuit,113.0
90,Chocolate butter icing,469.59,3.21,24.77,61.72,indb,0.9,chocolate butter icing,15.0
91,Almond biscuit,407.74,6.25,19.7,52.14,indb,0.9,almond biscuit,30.0
92,Orange biscuit,354.78,3.63,11.01,62.11,indb,0.9,orange biscuit,30.0
93,Gingerman biscuit,357.43,6.26,12.73,55.24,indb,0.9,gingerman biscuit,45.0
94,Coffee drops,443.07,7.57,27.16,43.06,indb,0.9,coffee drops,15.0
95,Christmas biscuit,406.07,5.67,15.88,60.97,indb,0.9,christmas biscuit,30.0
96,Christmas wreath biscuit,386.05,5.43,15.01,58.07,indb,0.9,christmas wreath biscuit,40.0
97,Christmas bell biscuit,404.85,5.66,15.84,60.79,indb,0.9,christmas bell biscuit,34.0
98,Christmas star biscuit,392.03,3.54,10.04,74.54,indb,0.9,christmas star biscuit,38.4
99,Christmas tree biscuit,385.63,5.43,15.0,58.41,indb,0.9,christmas tree biscuit,37.5
100,Chocolate cream shells,427.17,5.1,19.34,59.26,indb,0.9,chocolate cream shells,40.0
101,Cherry and walnut cookies,422.6,5.63,18.75,59.35,indb,0.9,cherry and walnut cookies,30.0
102,Choux swans,216.34,4.35,15.6,14.92,indb,0.9,choux swans,25.0
103,Cheese straws,382.0,9.83,24.28,30.61,indb,0.9,cheese straws,30.0
104,Butterfly biscuit,341.45,9.98,22.11,25.33,indb,0.9,butterfly biscuit,30.0
105,Flan pastry,445.8,6.72,25.04,47.84,indb,0.9,flan pastry,153.0
106,Fruit flan,261.35,3.3,12.48,34.71,indb,0.9,fruit flan,150.0
107,Orange cream flan,280.28,4.73,13.59,36.16,indb,0.9,orange cream flan,113.4
108,Fruit puree tart,286.5,3.35,16.83,30.42,indb,0.9,fruit puree tart,12.5
109,Apple banana pie,243.99,3.13,11.39,32.12,indb,0.9,apple banana pie,100.0
110,Lemon chiffon pie,259.31,4.88,14.52,27.63,indb,0.9,lemon chiffon pie,80.0
111,Orange chiffon pie,207.57,3.89,11.16,23.14,indb,0.9,orange chiffon pie,233.0
112,Cream buns,215.74,4.45,15.81,14.16,indb,0.9,cream buns,100.0
113,Savoury puffs,190.79,9.51,15.24,10.8,indb,0.9,savoury puffs,14.0
114,Rasmalai,135.55,1.61,2.11,29.17,indb,0.9,rasmalai,100.0
115,Rasgulla,118.64,1.38,1.75,25.79,indb,0.9,rasgulla,50.0
116,Rajbogh,133.7,1.71,2.28,28.16,indb,0.9,rajbogh,85.0
117,Beetroot and egg salad,84.92,3.36,6.45,3.4,indb,0.9,beetroot and egg salad,225.0
118,Cabbage rolls),124.63,5.76,8.17,7.03,indb,0.9,cabbage rolls,200.0
119,Dry arbi,134.95,2.12,8.97,11.11,indb,0.9,dry arbi,150.0
120,Masala arbi,185.38,3.01,11.9,16.16,indb,0.9,masala arbi,150.0
121,Peas brinjal bhartha,84.55,2.05,6.05,5.02,indb,0.9,peas brinjal bhartha,121.0
122,Okra/Lady's fingers fry,110.81,1.83,9.27,4.5,indb,0.9,okraladys fingers fry,150.0
123,Beans foogath,105.06,2.03,9.22,3.26,indb,0.9,beans foogath,111.0
124,Stuffed bittergourd,162.36,1.36,15.24,4.68,indb,0.9,stuffed bittergourd,75.0
125,Jackfruit/Kathal,488.97,0.93,51.78,4.56,indb,0.9,jackfruitkathal,165.0
126,Yam fried,491.76,0.79,51.79,5.47,indb,0.9,yam fried,150.0
127,"Cauliflower, pea and potato bhujia",95.67,2.75,5.54,8.23,indb,0.9,cauliflower pea and potato bhujia,200.0
128,Vegetable jalfrezi,68.48,1.4,4.38,5.43,indb,0.9,vegetable jalfrezi,170.0
129,Vegetables stir fry,30.78,1.04,1.47,3.19,indb,0.9,vegetables stir fry,85.0
130,Broccoli delight,40.7,2.49,2.48,2.34,indb,0.9,broccoli delight,113.0
131,Dhansak,82.8,3.32,4.18,7.28,indb,0.9,dhansak,100.0
132,Cauliflower basket,90.95,5.21,5.88,3.97,indb,0.9,cauliflower basket,25.0
133,Stuffed bottle gourd,93.19,5.84,5.8,4.36,indb,0.9,stuffed bottle gourd,123.6
134,Ducheese potato,140.54,3.6,9.01,10.94,indb,0.9,ducheese potato,123.0
135,Roast potatoes,87.32,1.53,2.35,14.52,indb,0.9,roast potatoes,150.0
136,Stuffed baked potatoes,100.2,3.82,4.39,11.03,indb,0.9,stuffed baked potatoes,170.0
137,Potato nests,111.62,5.71,4.77,11.05,indb,0.9,potato nests,25.0
138,Parsley potato,119.51,1.49,6.28,13.81,indb,0.9,parsley potato,113.4
139,Creamed spinach and mushroom,419.62,2.28,44.14,3.17,indb,0.9,creamed spinach and mushroom,150.0
140,Fricassee of Mushroom,106.66,3.65,6.63,8.13,indb,0.9,fricassee of mushroom,150.0
141,Cauliflower au gratin,145.9,4.45,10.2,9.13,indb,0.9,cauliflower au gratin,170.0
142,Vegetable and cheese pie,126.88,4.03,8.28,8.76,indb,0.9,vegetable and cheese pie,170.0
143,Bathua bhujia,90.9,2.26,7.29,3.63,indb,0.9,bathua bhujia,30.0
144,Mooli bhujia,91.2,1.69,7.25,4.74,indb,0.9,mooli bhujia,150.0
145,Fish in coconut milk,86.21,8.66,4.43,2.73,indb,0.9,fish in coconut milk,200.0
146,Vegetarian nargisi kofta curry,332.15,2.29,32.94,6.58,indb,0.9,vegetarian nargisi kofta curry,250.0
147,Roast chicken,199.9,20.49,13.06,0.1,indb,0.9,roast chicken,85.0
148,Shahi chicken masala,163.7,9.82,12.02,4.07,indb,0.9,shahi chicken masala,200.0
149,Tomato chicken,111.68,10.57,6.71,2.13,indb,0.9,tomato chicken,170.0
150,Creamy chicken,152.87,13.52,9.57,3.13,indb,0.9,creamy chicken,200.0
151,Broccoli chicken ala king,119.56,7.97,7.57,5.34,indb,0.9,broccoli chicken ala king,250.0
152,Ginger chicken,129.17,8.24,8.24,5.6,indb,0.9,ginger chicken,284.0
153,Chicken sweet and sour,445.09,6.92,47.59,2.67,indb,0.9,chicken sweet and sour,170.0
154,Chicken korma,147.96,9.83,9.67,5.43,indb,0.9,chicken korma,200.0
155,Bengal fish curry,109.43,7.26,7.03,4.42,indb,0.9,bengal fish curry,100.0
156,Fish finger,542.9,5.66,55.82,4.47,indb,0.9,fish finger,25.0
157,Prawn curry,109.55,8.54,6.93,3.1,indb,0.9,prawn curry,200.0
158,Spinach and potato,57.17,1.63,2.82,5.91,indb,0.9,spinach and potato,200.0
159,Baked stuffed fish,121.96,16.14,5.43,2.12,indb,0.9,baked stuffed fish,170.0
160,Fish pie,120.9,9.25,5.77,7.74,indb,0.9,fish pie,170.0
161,Crispy baked fish,138.4,10.95,6.41,9.59,indb,0.9,crispy baked fish,85.0
162,Fish souffle,139.71,10.51,8.55,5.14,indb,0.9,fish souffle,159.0
163,Potato curry,89.56,1.52,4.47,10.42,indb,0.9,potato curry,170.0
164,Egg curry,117.52,5.38,8.81,4.03,indb,0.9,egg curry,200.0
165,Vegetable curry with coconut,83.07,2.77,4.66,7.19,indb,0.9,vegetable curry with coconut,170.0
166,Curd with potatoes,59.9,1.56,2.72,7.15,indb,0.9,curd with potatoes,200.0
167,Potato kofta curry,455.4,0.56,49.08,2.78,indb,0.9,potato kofta curry,50.0
168,Yam kofta curry,322.88,0.71,33.84,3.75,indb,0.9,yam kofta curry,100.0
169,Jackfruit kofta curry,321.08,0.8,33.83,3.17,indb,0.9,jackfruit kofta curry,150.0
170,Spinach souffle,150.18,7.36,10.52,6.27,indb,0.9,spinach souffle,136.0
171,Sour cream potato salad,121.9,2.89,8.13,9.05,indb,0.9,sour cream potato salad,100.0
172,Rasbhari,130.05,1.52,1.92,28.27,indb,0.9,rasbhari,100.0
173,Tossed green salad,49.88,1.33,3.24,3.82,indb,0.9,tossed green salad,70.0
174,Chocolate sauce,263.2,1.91,10.39,43.21,indb,0.9,chocolate sauce,30.0
175,Coffee ice cream,150.62,3.15,9.43,14.09,indb,0.9,coffee ice cream,64.0
176,Coffee pear alaska,203.99,2.88,13.22,19.36,indb,0.9,coffee pear alaska,50.0
177,Crunchy butterscotch,277.32,3.11,20.99,19.92,indb,0.9,crunchy butterscotch,100.0
178,Peach melba ice cream,200.85,2.06,14.51,16.31,indb,0.9,peach melba ice cream,140.0
179,Vanilla ice cream with apples in hot cherry sauce,196.32,1.73,11.45,22.75,indb,0.9,vanilla ice cream with apples in hot cherry sauce,250.0
180,Grape and orange whip,57.39,1.41,2.62,6.72,indb,0.9,grape and orange whip,25.0
181,Honey banana cream,125.49,2.78,6.68,13.64,indb,0.9,honey banana cream,170.0
182,Raspberry bavarian cream,150.1,3.34,7.88,17.82,indb,0.9,raspberry bavarian cream,166.0
183,Fruit delight,107.09,2.09,7.09,9.11,indb,0.9,fruit delight,40.0
184,Creamy chocolate mousse,230.52,6.85,18.16,9.53,indb,0.9,creamy chocolate mousse,100.0
185,Cold lemon souffle,169.87,5.89,9.78,15.62,indb,0.9,cold lemon souffle,25.0
186,Cold orange souffle,173.19,5.94,9.82,16.27,indb,0.9,cold orange souffle,348.0
187,Cold pineapple souffle,181.22,6.23,10.39,16.85,indb,0.9,cold pineapple souffle,25.0
188,Cold vanilla souffle,179.54,6.22,10.32,16.29,indb,0.9,cold vanilla souffle,120.0
189,Cold chocolate souffle,187.53,6.37,10.86,17.22,indb,0.9,cold chocolate souffle,48.0
190,Stewed fruit,74.32,0.25,0.32,18.22,indb,0.9,stewed fruit,150.0
191,Apricot fool,240.79,1.54,11.35,33.64,indb,0.9,apricot fool,80.0
192,Pavlova,200.6,1.84,12.29,21.84,indb,0.9,pavlova,100.0
193,Apple crumb pudding,220.85,1.54,8.87,35.17,indb,0.9,apple crumb pudding,114.0
194,Steamed cake with chocolate sauce,301.91,4.49,19.01,29.06,indb,0.9,steamed cake with chocolate sauce,100.0
195,Hot lemon souffle,155.25,5.29,7.93,16.31,indb,0.9,hot lemon souffle,67.0
196,Gulab jamun with milk powder,471.15,0.85,40.15,28.24,indb,0.9,gulab jamun with milk powder,30.0
197,Chum chum,130.05,1.52,1.92,28.27,indb,0.9,chum chum,30.0
198,Dil bahar,130.05,1.52,1.92,28.27,indb,0.9,dil bahar,100.0
199,Pear chocholate sunday,183.49,2.08,13.11,15.02,indb,0.9,pear chocholate sunday,225.0
200,Choconut ice cream,273.96,5.04,18.49,23.13,indb,0.9,choconut ice cream,99.0
201,Chocochip ice cream,241.45,4.23,17.93,16.75,indb,0.9,chocochip ice cream,66.0
202,Spinach raita,52.75,3.95,1.86,5.06,indb,0.9,spinach raita,100.0
203,Spring basket salad,160.46,3.36,11.3,11.61,indb,0.9,spring basket salad,85.0
204,Cucumber and yogurt salad,36.13,2.09,0.93,4.72,indb,0.9,cucumber and yogurt salad,150.0
205,Chicken and tomato towers,100.55,6.9,6.99,2.36,indb,0.9,chicken and tomato towers,170.0
206,Jellied sunshine fruit salad,48.86,5.85,0.85,4.21,indb,0.9,jellied sunshine fruit salad,127.0
207,Tomato aspic,50.37,6.87,0.26,5.02,indb,0.9,tomato aspic,100.0
208,Frozen frosty fruit salad,103.51,1.68,4.17,15.61,indb,0.9,frozen frosty fruit salad,100.0
209,Mayonnaise without eggs,329.05,2.13,33.84,3.98,indb,0.9,mayonnaise without eggs,13.8
210,Curd dressing,78.8,5.59,2.9,8.03,indb,0.9,curd dressing,100.0
211,Carrot raita,64.78,4.14,2.19,7.19,indb,0.9,carrot raita,100.0
212,Pumpkin raita,55.6,3.74,1.88,6.02,indb,0.9,pumpkin raita,100.0
213,Mint and peanut raita,112.05,7.05,6.19,7.31,indb,0.9,mint and peanut raita,100.0
214,Bathua raita,54.4,4.13,1.76,5.31,indb,0.9,bathua raita,150.0
215,Strawberry ice cream,215.61,4.15,16.96,12.26,indb,0.9,strawberry ice cream,87.0
216,Pineapple raita,67.74,3.9,2.02,8.62,indb,0.9,pineapple raita,100.0
217,Banana raita,89.03,4.13,2.07,13.51,indb,0.9,banana raita,160.0
218,Mango raita,67.37,3.9,2.14,8.23,indb,0.9,mango raita,100.0
219,Guava raita,64.36,4.19,2.07,7.27,indb,0.9,guava raita,25.0
220,Grapes raita,72.59,3.98,2.07,9.66,indb,0.9,grapes raita,100.0
221,Bottle gourd kheer,84.07,2.7,3.86,10.0,indb,0.9,bottle gourd kheer,200.0
222,Pumpkin kheer,86.35,2.76,3.86,10.44,indb,0.9,pumpkin kheer,125.0
223,Apple kheer,81.3,2.14,3.18,11.34,indb,0.9,apple kheer,95.0
224,Caramel custard,122.7,5.11,5.01,14.95,indb,0.9,caramel custard,150.0
225,Vanilla ice cream without egg,228.67,2.69,18.15,14.21,indb,0.9,vanilla ice cream without egg,100.0
226,Vanilla ice cream with egg,214.85,4.16,17.02,11.71,indb,0.9,vanilla ice cream with egg,100.0
227,Poshtik khichdi/khichri,93.37,3.04,1.88,15.64,indb,0.9,poshtik khichdikhichri,200.0
228,Sprouts upma,316.25,9.5,10.44,44.96,indb,0.9,sprouts upma,200.0
229,Vegetable yakhni,406.06,1.18,43.8,1.94,indb,0.9,vegetable yakhni,250.0
230,Bread roll,435.46,2.85,40.25,16.12,indb,0.9,bread roll,50.0
231,Classic seasoned black beans,28.78,8.01,8.28,7.66,indb,0.9,classic seasoned black beans,130.0
232,Maa chaane ki dal,344.67,19.8,9.5,43.11,indb,0.9,maa chaane ki dal,200.0
233,Garlic chickpea soup,89.53,4.45,2.01,13.92,indb,0.9,garlic chickpea soup,240.0
234,White sauce,115.17,3.31,8.41,6.58,indb,0.9,white sauce,31.0
235,Cheese sauce,194.76,7.68,15.12,7.08,indb,0.9,cheese sauce,30.0
236,Egg sauce,146.85,5.97,11.08,5.88,indb,0.9,egg sauce,150.0
237,Mushroom sauce,137.56,3.39,10.51,7.31,indb,0.9,mushroom sauce,30.0
238,Mustard sauce,158.58,3.98,12.17,8.29,indb,0.9,mustard sauce,10.0
239,Brown sauce,109.18,11.92,23.67,5.38,indb,0.9,brown sauce,30.0
240,Classic italian pasta,42.12,0.57,2.45,4.4,indb,0.9,classic italian pasta,56.0
241,Pasta spinach sauce,85.46,1.76,7.9,1.76,indb,0.9,pasta spinach sauce,250.0
242,Pasta cheese sauce,149.26,4.33,10.84,9.0,indb,0.9,pasta cheese sauce,200.0
243,Low calorie quick mayonnaise,242.89,1.41,24.35,4.71,indb,0.9,low calorie quick mayonnaise,15.0
244,Thousand island dressing,407.87,1.37,42.87,4.49,indb,0.9,thousand island dressing,29.58
245,Curd dip,79.95,5.04,3.36,7.95,indb,0.9,curd dip,15.0
246,Short crust pastry,422.1,6.11,23.98,44.72,indb,0.9,short crust pastry,23.0
247,Choux pastry,222.37,5.55,14.96,16.2,indb,0.9,choux pastry,50.0
248,Flaky pastry,443.94,4.69,31.99,33.61,indb,0.9,flaky pastry,50.0
249,Sponge cake,253.77,9.18,4.74,44.63,indb,0.9,sponge cake,50.0
250,Glace icing,323.51,0.01,0.01,86.31,indb,0.9,glace icing,15.0
251,Royal icing,332.58,1.74,0.02,86.53,indb,0.9,royal icing,8.33
252,American frosting,257.57,1.05,0.01,67.48,indb,0.9,american frosting,30.0
253,Gum icing,223.07,5.94,0.0,53.19,indb,0.9,gum icing,35.0
254,Soya seekh kebab,115.05,5.4,5.88,10.0,indb,0.9,soya seekh kebab,80.0
255,Jowar dosa,294.35,8.5,10.28,40.53,indb,0.9,jowar dosa,60.0
256,Semolina idli,206.39,9.34,3.47,33.67,indb,0.9,semolina idli,46.0
257,Gujarati handvo,207.09,8.24,4.8,31.86,indb,0.9,gujarati handvo,150.0
258,Wheat cake,314.63,4.79,14.95,41.13,indb,0.9,wheat cake,50.0
259,Mango cheesecake,152.46,2.39,7.3,20.06,indb,0.9,mango cheesecake,125.0
260,Carrot cake,255.59,5.6,10.27,35.98,indb,0.9,carrot cake,100.0
261,Semolina cake,374.14,6.58,25.18,31.32,indb,0.9,semolina cake,127.0
262,Finger millet cake,279.46,3.96,12.27,38.93,indb,0.9,finger millet cake,40.0
263,Honey cake,333.59,3.08,14.7,49.04,indb,0.9,honey cake,100.0
264,Almond cardamom cake,356.35,7.18,21.36,34.53,indb,0.9,almond cardamom cake,40.0
265,Tutti frutti cake,347.72,4.49,12.68,52.94,indb,0.9,tutti frutti cake,125.0
266,Ham and Bean soup,96.04,10.61,4.15,4.18,indb,0.9,ham and bean soup,245.0
267,Whey soup,68.91,3.45,3.34,6.26,indb,0.9,whey soup,240.0
268,Bottle gourd soup,23.05,0.45,1.79,1.16,indb,0.9,bottle gourd soup,240.0
269,Baked potato soup,147.05,5.73,11.21,5.85,indb,0.9,baked potato soup,245.0
270,Pumpkin soup,40.05,0.47,3.2,2.08,indb,0.9,pumpkin soup,245.0
271,Sweet corn soup,32.25,0.99,1.63,3.56,indb,0.9,sweet corn soup,250.0
272,Paneer soup,47.85,3.22,2.8,2.42,indb,0.9,paneer soup,200.0
273,Curried Cauliflower soup,37.32,6.72,9.77,3.12,indb,0.9,curried cauliflower soup,218.0
274,Millet soup,55.99,11.26,12.57,8.22,indb,0.9,millet soup,240.0
275,Lemon coriander soup,108.06,2.27,6.26,10.32,indb,0.9,lemon coriander soup,230.0
276,Garlic soup,194.86,2.38,17.62,6.99,indb,0.9,garlic soup,240.0
277,Dal makhani,74.04,3.32,3.06,7.96,indb,0.9,dal makhani,200.0
278,Dalma,118.93,4.91,4.58,15.04,indb,0.9,dalma,200.0
279,Split bengal gram dal,99.67,4.15,4.62,9.99,indb,0.9,split bengal gram dal,25.0
280,Horsegram dal,55.65,2.91,1.13,8.21,indb,0.9,horsegram dal,180.0
281,Panchmel dal,111.22,4.63,5.36,10.71,indb,0.9,panchmel dal,180.0
282,Dal dhokli,68.74,2.96,2.47,8.55,indb,0.9,dal dhokli,250.0
283,Channa murmura premix,339.09,10.59,3.28,72.59,indb,0.9,channa murmura premix,28.0
284,Cracked wheat and green gram dal premix,362.16,15.89,5.11,64.75,indb,0.9,cracked wheat and green gram dal premix,25.0
285,Rice flakes and roasted channa,333.4,10.57,2.94,71.94,indb,0.9,rice flakes and roasted channa,50.0
286,Spinach soup in milk,56.72,2.89,3.2,3.98,indb,0.9,spinach soup in milk,240.0
287,Tomato sauce,34.33,0.81,0.27,7.23,indb,0.9,tomato sauce,128.9
288,Tomato puree,20.62,0.75,0.25,3.68,indb,0.9,tomato puree,60.0
289,Garam masala,254.21,9.89,10.97,26.2,indb,0.9,garam masala,2.0
290,Chat masala,222.58,8.19,9.91,23.87,indb,0.9,chat masala,5.0
291,Kashmiri masala,389.02,8.26,31.03,23.16,indb,0.9,kashmiri masala,100.0
292,Rasam powder,267.96,12.04,11.8,25.19,indb,0.9,rasam powder,4.0
293,Sambar powder,297.46,12.5,15.58,23.38,indb,0.9,sambar powder,5.0
294,Barbeque sauce,121.93,0.96,4.51,20.46,indb,0.9,barbeque sauce,30.0
295,Bread sauce,111.04,3.46,7.05,8.69,indb,0.9,bread sauce,150.0
296,Green chilli sauce,46.06,1.25,0.27,7.36,indb,0.9,green chilli sauce,15.0
297,Home made plain noodles,238.78,6.21,3.56,44.5,indb,0.9,home made plain noodles,100.0
